"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1985 <= Year >= 2024""]"																																						
	1988	3	6	22	35	36.9	2181		"ALASKA:  GULF OF ALASKA:  ANCHORAGE"	57.262	-142.747	15	7.8	5								1												1				
	1988	3	30	2	12	42.8			"IRAN:  DEH DASHT, BAHBAHAN"	30.89	50.194	33	5.7									2																
	1988	6	19	20	19	52.6			"PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN"	12.376	121.067	17	6.2	7	2	1			2	1		2					2	1			2	1		2				
	1988	6	24	2	6	26.3	2182		"PHILIPPINES:  LUZON:  LAOAG"	18.606	121.013	53	5.4																					1				
	1988	7	5	20	32	7.2	2183		"PAPUA NEW GUINEA:  NEW BRITAIN:  KANDRIAN, ARAWE"	-5.964	148.78	53	6.8	5								2																
	1988	7	20	23	15	36.6			"TAIWAN:  HUALIEN, SU-HUA"	23.902	121.598	51	5.7		1	1			1	1		1					1	1			1	1		1				
	1988	8	6	0	36	24.6	2372		"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL"	25.149	95.127	91	7.2	6	3	1			42	1		2					5	1	30	1	42	1		2				
	1988	8	10	4	38	29.2	2184		"SOLOMON ISLANDS:  SAN CRISTOBAL, GUADALCANAL"	-10.258	160.896	36	7.6														1	1						1	100	2		
	1988	8	11	16	4	45.6			"IRAN:  S, MAMASANI, BUSHEHR, NURABAD"	29.974	51.679	33	6.1		1	1				1		2			2000	4	1	1				1		2			2000	4
	1988	8	20	23	9	9.5	5735		"NEPAL-INDIA:  KATHMANDU, BIHAR"	26.755	86.616	57	6.6	8	998	3					131.5	4					998	3		1			131.5	4				
	1988	9	6	0	42	33.7			"PAPUA NEW GUINEA:  KAIAPIT (LANDSLIDE GENERATED)"	-6.06	146.23	0	4.3														74	2						2		3		
	1988	9	25	20	52	14.7			"TAJIKISTAN:  ROSHTKALA, KHOROG"	37.18	71.811	11	5	6								2																
	1988	10	16	12	34	5.6			"GREECE:  IONIAN SEA:  KILINI, VARTHOLOMION"	37.938	20.932	25	5.8	8								2																
	1988	10	31	10	12	58.4			"ALGERIA:  BLIDA, MEDEA-ALGIERS"	36.443	2.759	12	5.6									2																
	1988	11	3	14	47	10.7			"GUATEMALA:  S PALIN, SAN VICENTE PACAYA"	13.881	-90.45	69	6	6	5	1				2		2					5	1				2		2			100	2
	1988	11	3	19	42	18.1			"PUERTO RICO:  MONA PASSAGE:  CATANO"	19.08	-67.256	33	5.7	5								2												2				
